   128.59	 17 01 18.87	-30 05 04.88	     0.77	     0.77	    118.9	     2.94	3.577e-15	3.451e-15	2.350e-16	1.069e-16
   131.16	 17 01 07.31	-30 04 52.72	     0.87	     0.77	      6.5	     3.37	6.076e-15	6.115e-15	0.000e+00	   0      
   132.61	 17 01 21.73	-30 05 44.83	     0.75	     0.73	    104.9	     4.47	2.359e-15	9.299e-16	1.033e-15	4.596e-16
   132.93	 17 01 13.86	-30 08 56.41	     1.19	     1.19	      0.0	     3.58	3.847e-15	3.112e-15	4.695e-16	4.888e-16
   133.67	 17 01 19.23	-30 05 02.18	     0.79	     0.77	      9.3	     2.61	7.165e-16	3.294e-16	4.020e-16	0.000e+00
   135.64	 17 01 07.52	-30 08 43.05	     1.26	     1.26	      0.0	     3.09	2.478e-15	1.840e-15	6.021e-16	1.037e-16
   136.78	 17 01 06.19	-30 04 55.98	     1.06	     0.82	      0.8	     2.05	2.360e-16	    0     	    0     	2.965e-16
   137.95	 17 01 14.13	-30 04 27.99	     0.78	     0.75	     93.1	     3.17	2.658e-15	2.606e-15	    0     	0.000e+00
   142.62	 17 01 23.40	-30 06 18.04	     0.80	     0.74	    119.8	     3.31	1.694e-15	9.907e-16	7.017e-16	8.196e-17
   143.12	 17 01 02.22	-30 05 56.15	     1.00	     0.81	    164.2	     4.06	1.505e-15	4.225e-16	5.084e-16	7.261e-16
   147.20	 17 01 04.25	-30 05 04.94	     0.86	     0.76	    166.0	     4.54	3.582e-15	2.420e-15	5.533e-16	8.814e-16
   152.79	 17 01 00.85	-30 06 34.13	     1.03	     0.89	    170.0	     4.67	2.955e-15	1.700e-15	6.945e-16	7.444e-16
   153.85	 17 01 03.33	-30 08 20.40	     1.32	     0.91	    152.8	     4.72	2.931e-15	1.049e-15	1.414e-15	5.133e-16
   157.13	 17 01 00.56	-30 07 00.89	     2.25	     1.49	    171.8	     2.97	7.944e-16	0.000e+00	7.410e-16	1.525e-16
   157.59	 17 01 09.37	-30 09 16.40	     1.33	     0.94	    140.4	     4.54	6.919e-15	6.242e-15	6.327e-16	3.964e-16
   161.00	 17 01 03.76	-30 04 51.62	     1.52	     0.86	    175.4	     2.00	1.470e-16	     0    	1.522e-16	2.331e-16
   167.17	 17 01 14.36	-30 03 58.89	     0.80	     0.79	    157.1	     2.26	6.085e-16	0.000e+00	2.858e-16	1.053e-16
   177.97	 17 01 15.31	-30 03 50.03	     0.72	     0.72	     16.2	     7.16	4.547e-15	8.279e-16	1.807e-15	1.811e-15
   179.77	 17 01 16.76	-30 09 35.98	     2.37	     1.22	    137.9	     2.80	2.059e-15	1.503e-15	1.531e-16	5.797e-16
   190.64	 17 01 24.13	-30 08 42.71	     1.35	     1.35	      0.0	     2.97	9.164e-16	0.000e+00	1.699e-16	6.817e-16
